Community,Avg_time
YORKVILLE,5.704
WOODLANDS,4.116
WOODBINE,4.573
WOLF WILLOW,5.6382
WINSTON HEIGHTS/MOUNTVIEW,3.1111
WINDSOR PARK,2.4005
WILLOW PARK,3.8624
WILDWOOD,2.72
WHITEHORN,2.525
WESTWINDS,3.4234
WESTGATE,2.106
WEST SPRINGS,4.301
WEST HILLHURST,3.2128
WALDEN,1.8998
VISTA HEIGHTS,1.989
VARSITY,4.387
VALLEYFIELD,4.4339
VALLEY RIDGE,2.2703
UPPER MOUNT ROYAL,1.8332
UNIVERSITY OF CALGARY,2.9654
UNIVERSITY HEIGHTS,3.5628
UNIVERSITY DISTRICT,2.8882
TWINHILLS,10.3234
TUXEDO PARK,1.887
TUSCANY,2.594
THORNCLIFFE,2.8748
TEMPLE,2.5008
TARADALE,2.716
SYMONS VALLEY RANCH,6.646
SUNRIDGE,2.5544
SUNNYSIDE,2.213
SUNDANCE,3.2649
SUNALTA,2.4603
STRATHCONA PARK,4.803
STONEY 4,4.193
STONEY 3,5.163
STONEY 2,3.614
STONEY 1,4.6638
STONEGATE LANDING,4.0672
STARFIELD,4.1624
ST. ANDREWS HEIGHTS,2.5862
SPRUCE CLIFF,3.0054
SPRINGBANK HILL,4.9954
SOUTHWOOD,2.6486
SOUTHVIEW,1.3664
SOUTH FOOTHILLS,4.6627
SOUTH CALGARY,1.48
SOUTH AIRWAYS,9.3064
SOMERSET,3.6264
SKYVIEW RANCH,2.0166
SKYLINE WEST,3.54
SKYLINE EAST,3.5974
SILVERADO,5.51
SILVER SPRINGS,3.1968
SIGNAL HILL,3.121
SHERWOOD,4.1676
SHEPARD INDUSTRIAL,3.032
SHAWNESSY,3.4913
SHAWNEE SLOPES,4.683
SHAGANAPPI,3.088
SETON,2.3
SECTION 23,6.3636
SCENIC ACRES,3.223
SCARBORO/ SUNALTA WEST,3.4606
SCARBORO,4.132
SANDSTONE VALLEY,3.323
SAGE HILL,3.3292
SADDLE RIDGE INDUSTRIAL,4.5982
SADDLE RIDGE,3.03
RUTLAND PARK,3.7468
RUNDLE,4.1375
ROYAL VISTA,1.464
ROYAL OAK,3.908
ROXBORO,3.461
ROSSCARROCK,1.552
ROSEMONT,3.6564
ROSEDALE,2.526
ROCKY RIDGE,4.876
RIVERBEND,4.0022
RIDEAU PARK,3.5335
RICHMOND,3.3
RENFREW,3.5129
REDSTONE,2.5174
RED CARPET,4.8545
RANGEVIEW,3.5872
RANCHLANDS,4.273
RAMSAY,3.732
QUEENSLAND,3.024
QUEENS PARK VILLAGE,3.6335
PUMP HILL,3.974
POINT MCKAY,3.8144
PINERIDGE,4.3574
PINE CREEK,5.5865
PENBROOKE MEADOWS,3.5008
PEGASUS,10.0996
PATTERSON,3.0072
PARKLAND,2.984
PARKHILL,3.6524
PARKDALE,4.574
PANORAMA HILLS,3.605
PALLISER,2.57
OGDEN SHOPS,4.2158
OGDEN,3.245
OAKRIDGE,3.3922
NOSE HILL PARK,4.0905
NORTH HAVEN UPPER,3.094
NORTH HAVEN,4.2617
NORTH GLENMORE PARK,2.9696
NORTH AIRWAYS,3.9054
NOLAN HILL,4.8295
NEW BRIGHTON,3.219
MOUNT PLEASANT,1.6668
MONTGOMERY,3.2364
MONTEREY PARK,5.167
MISSION,3.0966
MILLRISE,3.8085
MIDNAPORE,2.805
MERIDIAN,3.164
MEDICINE HILL,4.1021
MEADOWLARK PARK,2.858
MCKENZIE TOWNE,2.2537
MCKENZIE LAKE,4.339
MCCALL,5.4533
MAYLAND HEIGHTS,2.309
MAYLAND,3.253
MAYFAIR,2.9223
MARTINDALE,3.401
MARLBOROUGH PARK,4.1008
MARLBOROUGH,2.9806
MAPLE RIDGE,4.2826
MANCHESTER INDUSTRIAL,3.2724
MANCHESTER,1.1551
MAHOGANY,6.553
MACEWAN GLEN,3.0364
LOWER MOUNT ROYAL,1.589
LIVINGSTON,1.5688
LINCOLN PARK,2.5914
LEWISBURG,3.428
LEGACY,3.6944
LAKEVIEW,3.8572
LAKE BONAVISTA,3.5716
KINGSLAND,3.6291
KINCORA,2.9999
KILLARNEY/GLENGARRY,3.181
KEYSTONE HILLS,10.7996
KELVIN GROVE,3.8945
INGLEWOOD,4.0659
HUNTINGTON HILLS,2.3992
HOUNSFIELD HEIGHTS/BRIAR HILL,1.5371
HOTCHKISS,9.7902
HORIZON,6.0228
HOMESTEAD,8.8182
HILLHURST,2.0957
HIGHWOOD,3.3598
HIGHLAND PARK,2.6696
HIGHFIELD,2.1596
HIDDEN VALLEY,3.4601
HAYSBORO,2.889
HAWKWOOD,4.6941
HASKAYNE,6.4584
HARVEST HILLS,3.6914
HAMPTONS,4.5838
GREENWOOD/GREENBRIAR,5.3544
GREENVIEW INDUSTRIAL PARK,4.2903
GREENVIEW,3.7564
GREAT PLAINS,3.0058
GOLDEN TRIANGLE,4.4324
GLENMORE PARK,6.365
GLENDEER BUSINESS PARK,3.9808
GLENDALE,1.6194
GLENBROOK,2.611
GLAMORGAN,3.394
GLACIER RIDGE,10.8742
GARRISON WOODS,2.8465
GARRISON GREEN,3.476
FRANKLIN,3.669
FOREST LAWN INDUSTRIAL,4.5479
FOREST LAWN,2.5371
FOREST HEIGHTS,1.6627
FOOTHILLS,4.1029
FISH CREEK PARK,5.275
FALCONRIDGE,3.623
FAIRVIEW INDUSTRIAL,3.9645
FAIRVIEW,3.83
EVERGREEN,3.7044
EVANSTON,3.9833
ERLTON,3.2544
ERIN WOODS,4.89
ELBOYA,2.0758
ELBOW PARK,2.625
EDGEMONT,3.17
EAU CLAIRE,1.2032
EASTFIELD,4.4812
EAST SHEPARD INDUSTRIAL,6.0348
EAST FAIRVIEW INDUSTRIAL,4.9458
EAGLE RIDGE,5.0047
DOWNTOWN WEST END,0.896
DOWNTOWN EAST VILLAGE,1.3994
DOWNTOWN COMMERCIAL CORE,1.1758
DOVER,2.6
DOUGLASDALE/GLEN,5.286
DISCOVERY RIDGE,4.349
DIAMOND COVE,3.9414
DEERFOOT BUSINESS CENTRE,3.833
DEER RUN,4.6071
DEER RIDGE,2.841
DALHOUSIE,3.8927
CURRIE BARRACKS,3.5433
CRESTMONT,2.9906
CRESCENT HEIGHTS,2.4234
CRANSTON,5.322
COVENTRY HILLS,3.353
COUNTRY HILLS VILLAGE,2.014
COUNTRY HILLS,3.3348
COUGAR RIDGE,4.166
