Community,Avg_time
YORKVILLE,7.102622889
WOODLANDS,3.203059086
WOODBINE,3.654547034
WOLF WILLOW,9.868051546
WINSTON HEIGHTS/MOUNTVIEW,1.470977941
WINDSOR PARK,0.722248466
WILLOW PARK,2.711799638
WILDWOOD,2.307160563
WHITEHORN,1.733104981
WESTWINDS,2.743722628
WESTGATE,1.391450262
WEST SPRINGS,3.074767624
WEST HILLHURST,1.528624346
WALDEN,8.515160607
VISTA HEIGHTS,3.687637615
VARSITY,2.867381956
VALLEYFIELD,3.243109756
VALLEY RIDGE,8.127588751
UPPER MOUNT ROYAL,2.307686977
UNIVERSITY OF CALGARY,2.777769231
UNIVERSITY HEIGHTS,4.322050813
UNIVERSITY DISTRICT,2.299205128
TWINHILLS,9.669777778
TUXEDO PARK,2.349226563
TUSCANY,6.573756877
THORNCLIFFE,1.442633911
TEMPLE,1.662381715
TARADALE,1.842785094
SYMONS VALLEY RANCH,9.448
SUNRIDGE,4.614381443
SUNNYSIDE,2.403815403
SUNDANCE,4.397901284
SUNALTA,1.649401544
STRATHCONA PARK,3.64090625
STONEY 4,6.460473684
STONEY 3,2.308195122
STONEY 2,2.463166667
STONEY 1,4.030411765
STONEGATE LANDING,2.471692308
STARFIELD,6.858854369
ST. ANDREWS HEIGHTS,3.4192
SPRUCE CLIFF,2.542293217
SPRINGBANK HILL,2.733717819
SOUTHWOOD,1.950119648
SOUTHVIEW,0.956278287
SOUTH FOOTHILLS,4.290853846
SOUTH CALGARY,3.708478686
SOUTH AIRWAYS,4.551251613
SOMERSET,4.458296204
SKYVIEW RANCH,4.619026822
SKYLINE WEST,2.580989474
SKYLINE EAST,4.255633333
SILVERADO,6.465972074
SILVER SPRINGS,1.886271339
SIGNAL HILL,2.099430392
SHERWOOD,6.249612129
SHEPARD INDUSTRIAL,3.640263158
SHAWNESSY,3.390412357
SHAWNEE SLOPES,3.300938438
SHAGANAPPI,2.497935818
SETON,8.432919182
SECTION 23,6.031329897
SCENIC ACRES,2.334827273
SCARBORO/ SUNALTA WEST,2.579902857
SCARBORO,2.484845506
SANDSTONE VALLEY,4.589678177
SAGE HILL,8.381076568
SADDLE RIDGE INDUSTRIAL,3.887763889
SADDLE RIDGE,1.945924591
RUTLAND PARK,3.466932011
RUNDLE,3.409434489
ROYAL VISTA,0.911403509
ROYAL OAK,2.720439242
ROXBORO,2.573929825
ROSSCARROCK,1.083922385
ROSEMONT,3.61432
ROSEDALE,3.362559738
ROCKY RIDGE,4.626641889
RIVERBEND,3.163773382
RIDEAU PARK,2.634339744
RICHMOND,3.573803210
RENFREW,1.584777484
REDSTONE,5.598169392
RED CARPET,4.44
RANGEVIEW,7.8225
RANCHLANDS,3.325702085
RAMSAY,2.548652997
QUEENSLAND,6.675469957
QUEENS PARK VILLAGE,1.85
PUMP HILL,3.105010823
POINT MCKAY,3.029742857
PINERIDGE,3.500680373
PINE CREEK,9.455268456
PENBROOKE MEADOWS,2.827890530
PEGASUS,5.24159375
PATTERSON,2.007701639
PARKLAND,5.928798551
PARKHILL,2.317543058
PARKDALE,3.166032349
PANORAMA HILLS,2.303829892
PALLISER,2.125614068
OGDEN SHOPS,2.924022727
OGDEN,1.662116684
OAKRIDGE,2.488245763
NOSE HILL PARK,2.929166667
NORTH HAVEN UPPER,2.242886640
NORTH HAVEN,2.079181199
NORTH GLENMORE PARK,2.515723060
